k,sammon,aco_mean_sammon,gwo_mean_sammon,rsa_mean_sammon,kruskal,aco_mean_kruskal,gwo_mean_kruskal,rsa_mean_kruskal
1,0.083,0.290,0.290,0.301,0.949,0.509,0.509,0.511
2,<0.001,0.160,0.135,0.161,0.249,0.317,0.318,0.337
3,<0.001,0.071,0.071,0.103,<0.001,0.216,0.211,0.253
4,0.001,0.051,0.038,0.049,<0.001,0.168,0.131,0.210
5,<0.001,0.026,0.021,0.038,<0.001,0.091,0.086,0.181
6,<0.001,0.014,0.012,0.027,<0.001,0.075,0.056,0.080
7,<0.001,0.009,0.008,0.018,<0.001,0.052,0.037,0.074
8,<0.001,0.005,0.004,0.012,<0.001,0.031,0.027,0.069
9,0.102,0.002,0.002,0.003,<0.001,0.024,0.016,0.059
10,0.176,0.001,0.001,0.001,<0.001,0.012,0.011,0.029
11,0.332,0.000,0.000,0.001,<0.001,0.007,0.007,0.016
12,0.007,0.000,0.000,0.000,0.229,0.003,0.003,0.005
13,0.828,0.000,0.000,0.000,0.576,0.000,0.000,0.000
