project_name,k,best_solution_gwo_sammon,best_solution_gwo_kruskal,best_fitness_gwo_sammon,best_fitness_gwo_kruskal
simon-knuth_scanner,1,"[0.52800623 0.59476405 0.04692871 0.28065094 0.07308993 0.42589999
 0.31402455 0.08185388 0.77576482 0.42484659 0.55364536 0.08735211
 0.6325109  0.13142027 0.51907179 0.33059103 0.52983707 0.02521746
 0.30340145 0.1391896  0.05759999 0.07169749 0.92235093 0.56724572
 0.0122909  0.62590207 0.44794491 0.83522624 0.06364307 0.99437925
 0.34650549 0.49609379 0.04836388 0.14752207 0.61019448 0.5114373
 0.28556448 0.70959571 0.79543295 0.24923259]","[0.6358623  0.40555862 0.69208257 0.09047471 0.3869857  0.95869997
 0.05419291 0.2973547  0.13341972 0.56757799 0.9931235  0.29541154
 0.90744198 0.92599338 0.5598385  0.3731493  0.09947431 0.614287
 0.15515198 0.48938706 0.35863462 0.22478885 0.90814179 0.49244886
 0.13764648 0.08289748 0.88059327 0.29601967 0.40430691 0.99702279
 0.66141315 0.89005737 0.0225987  0.34500308 0.94476044 0.93976146
 0.3506282  0.8569404  0.70724078 0.76726728]",0.16198549301780307,0.16198549301780304
simon-knuth_scanner,3,"[2.62551492e-01 6.80341865e-01 1.86660536e-01 1.97526761e-02
 2.52983358e-01 3.22503053e-01 3.58910944e-01 5.13711436e-01
 8.39738541e-01 2.34139554e-01 4.52667811e-01 2.87802379e-02
 0.00000000e+00 5.96838099e-02 6.74400352e-01 4.11951203e-02
 7.16238570e-01 0.00000000e+00 1.72687792e-02 1.97251372e-01
 2.93355793e-01 2.44105383e-02 5.61291839e-01 9.50146400e-02
 2.20948609e-01 4.87626305e-01 4.85542990e-01 1.00000000e+00
 2.63986867e-01 9.52286319e-01 4.55479198e-01 4.99636705e-01
 1.77427344e-01 4.68690431e-01 5.68151717e-01 4.62636489e-01
 1.28855009e-01 5.15101958e-01 1.96504417e-01 4.76050081e-04]","[0.54251649 0.69281366 0.2461361  0.35333143 0.24998863 0.7266204
 0.85961782 0.49402441 0.523976   0.08945649 0.07398906 0.16844351
 0.310865   0.         0.23351146 0.40899331 0.27241821 0.23994709
 0.37375433 0.42464458 0.00121694 0.         0.12207573 0.28413328
 0.41839707 0.37270523 0.16310528 0.26654212 1.         1.
 0.34778854 1.         0.46646808 0.77338241 0.7554746  0.39322467
 0.06551896 0.         0.8021746  1.        ]",0.09073418647428408,0.10060266040885209
simon-knuth_scanner,5,"[0.1034946  0.         0.00455887 0.12116169 0.12469258 0.48246972
 0.4468272  0.45818529 0.91551019 0.83437255 0.0676324  0.26555764
 0.71846327 0.25480113 0.70802433 0.34395398 0.52765569 0.47027422
 0.35326164 0.39017775 0.50486305 0.85751051 0.46484564 0.13505616
 0.4432187  0.74957794 0.2424937  0.21834566 0.9372929  0.89858767
 0.34923231 0.04058989 0.14460063 0.55823101 0.53976283 0.42151544
 0.11685714 0.62885194 0.21709404 0.54119168]","[0.36557816 0.0847173  0.04947604 0.73970383 0.05275931 0.77088706
 0.47913006 0.00515484 1.         1.         0.08561743 0.49288643
 0.73288957 0.18909657 0.36850045 0.06387482 0.47487475 0.59126469
 0.71345336 0.61769499 0.20290576 0.7949609  0.34838487 0.56878128
 0.26380616 0.73480217 0.39310282 0.04498768 1.         0.80556829
 0.07425692 0.17485278 0.47956111 0.69308329 0.45077209 0.10274843
 0.32598133 0.45716353 0.57803005 0.59238663]",0.0015659926433466463,0.0015659926433466461
simon-knuth_scanner,7,"[0.23892806 0.50222998 0.00609582 0.28824167 0.54047129 0.97925104
 0.20728504 0.11532263 1.         1.         0.18637641 0.53170163
 0.26666196 0.53978078 0.38699036 0.36021776 0.31398563 0.26858502
 0.3534174  0.         0.10415964 0.65278717 0.15046538 0.00637622
 0.15195426 0.23789964 0.34672809 0.18155189 1.         0.95658911
 0.42352713 0.42030311 0.02403045 0.32769366 0.45507949 0.40286771
 0.85492493 0.15676233 0.02674014 0.62400425]","[0.38774145 0.29903083 0.25871977 0.07211868 0.14955557 0.26329044
 0.34111726 0.32815186 1.         0.88515894 0.10525823 0.17933844
 0.06022294 0.17297545 0.27782946 0.62155612 0.4285779  0.60461459
 0.25342435 0.62407044 0.32706548 0.91292868 0.         0.4406755
 0.52236571 0.28192694 0.17312909 0.11532879 0.96619857 1.
 0.60375592 0.12761809 0.         0.01515718 0.29430543 0.48840263
 0.87600532 0.33122154 0.36034893 0.8734259 ]",0.0005854679112666005,0.0006304861715659642
simon-knuth_scanner,9,"[0.67001448 0.04590412 0.76405897 0.95159646 0.01101306 1.
 0.09923642 0.05275946 0.14556619 1.         0.03469433 0.42939262
 0.45022435 0.58805494 0.5710267  0.01631511 0.25928878 0.27575807
 0.74886025 0.18236494 0.3942304  0.3825119  0.21760488 0.05367972
 0.20305968 0.35804139 0.10797515 1.         1.         1.
 0.23074787 0.68716944 0.96183047 0.55326776 0.41661715 0.32605501
 1.         0.43489821 0.65517016 0.80897968]","[0.19842443 0.60478832 0.31247189 0.01031578 0.311062   0.94709701
 0.41184347 0.37440427 0.655174   0.78200121 0.44769398 0.35544692
 0.99254067 0.23004898 0.12274599 1.         0.30038917 0.59429622
 0.06838254 0.02073798 0.27592977 0.05919786 0.18863976 0.00190284
 0.41369605 0.37642986 0.64453488 0.01476116 0.9875822  0.99471203
 0.46459599 0.11559873 0.074314   0.14148187 0.2995182  0.31780703
 0.67878149 0.00472512 0.21491995 0.65940094]",0.004979225890175323,0.0014074065136002883
simon-knuth_scanner,11,"[0.47697369 0.57920369 0.11503147 0.33016008 0.16102265 0.75300032
 0.         0.1730103  0.65026652 0.69229502 1.         0.47750667
 0.         0.42432042 0.04495616 0.21234277 0.15039924 0.22010709
 0.42387415 0.15079381 0.63495352 0.07388673 0.01309721 0.41870623
 0.13569563 0.0290134  0.49228552 0.90193272 0.99907111 0.60585213
 0.00344044 0.47442679 0.14857726 0.38139988 0.11993299 0.12055918
 0.50417342 0.0569897  0.15133824 0.30426584]","[0.49818445 0.19342522 0.54325084 0.15567686 0.12497964 0.78229029
 0.25914112 0.         0.82509414 0.83848623 0.2714274  0.47367452
 0.02667239 0.16743133 0.4873253  0.21101651 0.08533868 0.0338726
 0.22298048 0.21970567 0.17867554 1.         0.28262504 0.34245632
 0.55742532 0.55404601 0.65164311 0.08744971 0.99502272 1.
 0.29637532 0.14994296 0.84603963 0.35899636 0.28211466 0.78267309
 1.         0.45681804 0.5309613  0.75999567]",0.0006867681224416445,0.0005506825931983469
simon-knuth_scanner,13,"[0.28663247 0.04990654 0.4387359  0.63184454 0.35251246 0.96029363
 0.19318379 0.22314497 0.81105061 1.         0.41906284 0.23717085
 0.83638184 0.66024902 0.31148429 0.73170039 0.33178527 0.0857145
 0.16008976 0.16500574 0.31535917 0.45307697 0.16410431 0.06751489
 0.17952341 0.34241632 0.01612827 0.14153823 0.94563029 1.
 0.01352624 0.16558296 0.4547773  0.12126201 0.31856399 0.56077158
 1.         0.29654333 0.26021769 0.12051721]","[2.83480850e-01 5.17864849e-01 9.08247652e-02 2.37833874e-02
 9.95843399e-02 8.40688497e-01 1.95565906e-01 3.11015413e-01
 8.85210593e-01 1.00000000e+00 4.48163173e-01 4.05165999e-01
 5.07294728e-04 2.15672725e-01 3.68858770e-01 5.34094866e-01
 1.10097543e-01 1.15655288e-01 9.78738997e-02 2.44425848e-01
 1.44784258e-01 1.00000000e+00 1.14142295e-02 6.42659273e-01
 1.66551026e-01 3.16943831e-01 6.79381011e-01 4.83659574e-01
 8.84151584e-01 1.00000000e+00 4.59604272e-01 1.36977267e-01
 1.80770617e-01 2.62019282e-02 3.35174368e-01 1.71376103e-01
 8.54766321e-01 4.46471190e-01 5.63848118e-02 1.00000000e+00]",0.0001475617081858409,0.0001405024819198302
simon-knuth_scanner,15,"[0.05522226 0.1805838  0.05885582 1.         0.25838142 0.78433521
 0.28589935 0.20381477 0.48472598 1.         0.38650055 0.67806391
 0.77953233 0.34862567 0.09726722 0.49967669 0.16382128 0.24827242
 0.         0.44467082 0.26665363 0.90449769 0.01814157 0.24647182
 0.18040848 0.04813479 0.095627   0.45367019 0.63187536 1.
 0.13196361 0.30715365 0.55812075 0.44984174 0.35509481 0.89818425
 0.1426989  0.63700151 0.26497896 0.12870803]","[0.0853396  1.         0.72233868 0.49052842 0.02089114 0.35887223
 0.10290412 0.01956239 1.         0.80944653 0.07807386 0.28099611
 0.09382867 0.93060174 0.32470377 0.36987324 0.34605957 0.34392951
 0.03750484 0.08717324 0.23004588 0.97295716 0.28586817 0.10474538
 1.         0.28265748 0.         0.52551228 0.48185186 0.65084681
 0.30470005 0.20305243 0.94598297 0.09099129 0.04659367 0.27394835
 1.         0.21636748 0.28383832 0.04845364]",0.0002021609223020402,5.628026241088673e-07
simon-knuth_scanner,17,"[0.32239576 0.28216641 0.4391425  0.87032708 0.24578713 1.
 0.36334405 0.43395002 1.         0.7331369  0.14465867 0.55526815
 0.6220292  0.21547583 0.43922933 0.0653259  0.44855134 1.
 0.4260842  0.34369071 0.00740346 0.01467195 0.49001686 0.74799971
 0.24577886 0.38685673 0.57537623 0.89956342 1.         0.94789575
 0.01375034 0.23489091 0.52076379 0.71904598 0.29072821 0.0607511
 1.         0.05257529 0.39649014 0.01212625]","[0.25487823 0.06797063 0.00617951 0.45542086 0.17924088 0.43120553
 0.28470152 0.12002375 0.57212531 0.84747666 0.09185305 0.12893425
 0.74030923 0.54346184 0.33905384 0.55774823 0.23812368 0.25660726
 0.01844549 0.26183173 0.0010834  0.67108    0.75538194 0.19189472
 0.1778043  0.74666805 0.15105588 0.48692138 1.         0.66928191
 0.22049769 0.24539795 0.44945183 0.35568477 0.11106668 0.43537319
 0.40112064 0.16175422 0.12859951 0.04863516]",0.00020460204441799602,3.1651707136966317e-07
simon-knuth_scanner,19,"[0.14000825 0.46885849 0.00817316 0.40843737 0.12139463 0.09294381
 0.14241117 0.32315999 0.60537654 0.86326227 0.55030872 0.16865615
 0.71997419 0.06620131 0.81765854 0.23573243 0.04681233 0.14094236
 0.22648531 0.33145138 0.3205873  0.87152952 0.13087063 0.45421388
 0.23788097 0.59205321 0.79326807 0.41303452 1.         0.47229228
 0.15217    0.1292157  0.42823407 0.76904124 0.08173084 0.46569666
 0.81223933 0.15660255 0.07335788 0.71317336]","[0.17600248 0.49646298 0.2175455  0.39826855 0.12212816 0.81444544
 0.16589635 0.02148794 0.59482809 0.96392843 0.35421516 0.21044426
 0.67983452 0.09576017 0.34465867 0.7406613  0.27003297 0.05744213
 0.31147311 0.02164314 0.08273207 0.47703441 0.42347109 0.66557471
 0.07707971 0.42508052 0.0976084  0.6811918  0.66091684 0.71816393
 0.28351834 0.34187715 0.01347763 0.37029945 0.03310645 0.60684156
 0.80418194 0.54800356 0.36255664 0.48538999]",2.1415846863033264e-06,3.17274254887363e-08
