project_name,k,best_solution_rsa_sammon,best_solution_rsa_kruskal,best_fitness_rsa_sammon,best_fitness_rsa_kruskal
AlbertMN_AssistantComputerControl,1,"[0.92694254 0.78702556 0.267977   0.34027745 0.79749819 0.77926559
 0.58454513 1.         0.5795796  0.82707758 1.         1.
 0.48543839 0.96574961 1.         0.8549779  0.65446701 1.
 0.93572846 0.69817982 1.         1.         1.         1.
 1.         0.63990601 1.         1.         0.90065416 1.
 0.68691464 1.         1.         0.82829417 0.96116899 1.
 0.85067339 1.         0.80057067 0.89820138]","[0.         0.04774257 0.02527759 0.         0.01627365 0.07796136
 0.         0.         0.         0.15735143 0.         0.
 0.         0.1508737  0.16445592 0.1081531  0.06400788 0.
 0.01379178 0.         0.         0.19734401 0.04228589 0.24911581
 0.09158364 0.07249912 0.         0.23440761 0.         0.26950956
 0.         0.         0.225657   0.113793   0.07167098 0.
 0.23171148 0.04288908 0.06395484 0.03638464]",0.23378124412556164,0.22858656708132824
AlbertMN_AssistantComputerControl,3,"[0.0323668  0.         0.         0.0376152  0.         0.
 0.0384133  0.         0.         0.09526864 0.         0.
 0.         0.05719621 0.         0.         0.08132382 0.05448091
 0.         0.0106842  0.         0.08803786 0.         0.
 0.         0.         0.         0.         0.         0.15167278
 0.         0.02617578 0.08438949 0.         0.         0.
 0.         0.         0.         0.04344547]","[0.         0.         0.00278714 0.         0.00707702 0.
 0.00861211 0.00641658 0.15945809 0.20835499 0.06302258 0.01979809
 0.         0.         0.00764183 0.         0.         0.03350117
 0.         0.         0.10751418 0.07109421 0.         0.
 0.05263822 0.01822808 0.         0.         0.13490407 0.
 0.         0.         0.         0.         0.08418345 0.
 0.         0.02266559 0.03624069 0.        ]",0.06863167925076735,0.0649886264156416
AlbertMN_AssistantComputerControl,5,"[0.00000000e+00 9.04732884e-03 1.35965313e-02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 5.31762973e-04
 2.95915425e-02 0.00000000e+00 0.00000000e+00 2.24512375e-02
 5.53364164e-05 0.00000000e+00 0.00000000e+00 4.67923742e-03
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.33882200e-02 2.19290935e-02 0.00000000e+00 4.79870175e-03
 1.92672366e-02 0.00000000e+00 2.71725651e-03 0.00000000e+00
 0.00000000e+00 2.30055766e-02 2.14645804e-02 0.00000000e+00
 4.46200849e-02 0.00000000e+00 0.00000000e+00 3.15276162e-03
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]","[0.00013464 0.         0.         0.         0.         0.
 0.         0.         0.00897437 0.01671312 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.00156676
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]",0.08590123652897119,0.0367918765175038
AlbertMN_AssistantComputerControl,7,"[0.00027805 0.         0.00206958 0.         0.         0.
 0.         0.         0.00217576 0.05946947 0.         0.
 0.         0.         0.00034623 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.00219973 0.         0.         0.         0.02110453
 0.         0.         0.         0.         0.         0.
 0.00483295 0.         0.00159314 0.00867088]","[0.         0.         0.00757211 0.0002062  0.         0.00558587
 0.         0.00688617 0.06365494 0.05107082 0.         0.0030627
 0.         0.00606245 0.02322479 0.         0.         0.04744492
 0.         0.         0.00045593 0.         0.         0.
 0.06638743 0.         0.         0.01285594 0.00190096 0.10573125
 0.00497471 0.         0.         0.02740849 0.         0.01204925
 0.03624985 0.         0.01402451 0.00259722]",0.022287377506584546,0.022298153674394635
AlbertMN_AssistantComputerControl,9,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.10714128 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.08689387 0.         0.
 0.         0.         0.05585122 0.         0.06865422 0.01682248
 0.         0.         0.         0.01370326 0.         0.
 0.         0.01224978 0.         0.00386577]","[0.         0.         0.         0.00434265 0.         0.
 0.         0.         0.00844428 0.00863659 0.         0.
 0.         0.01020874 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.06855675 0.0086987  0.09589038
 0.         0.         0.         0.02132771 0.         0.
 0.         0.         0.         0.        ]",0.019318444770779934,0.0066926758634946295
AlbertMN_AssistantComputerControl,11,"[0.00000000e+00 7.46163470e-02 0.00000000e+00 0.00000000e+00
 9.38927787e-02 1.81233530e-02 0.00000000e+00 1.26005459e-01
 1.49543254e-01 0.00000000e+00 0.00000000e+00 2.32633932e-02
 1.96921264e-02 0.00000000e+00 2.36759352e-01 0.00000000e+00
 1.76099348e-01 0.00000000e+00 1.37592830e-02 1.54913297e-02
 6.89140726e-02 1.01792641e-01 2.58731625e-01 1.14689683e-02
 3.63739392e-02 6.79416971e-02 0.00000000e+00 0.00000000e+00
 3.78817649e-01 2.84794653e-01 3.94675036e-01 0.00000000e+00
 3.00291297e-01 0.00000000e+00 4.71706527e-03 6.09105825e-05
 0.00000000e+00 5.45742797e-01 0.00000000e+00 0.00000000e+00]","[0.03239881 0.         0.         0.         0.         0.
 0.         0.         0.         0.04635999 0.         0.
 0.         0.00652729 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.04850109 0.03447678 0.03322394
 0.00702802 0.         0.         0.         0.00455746 0.
 0.02662005 0.         0.         0.        ]",0.03199561231817088,0.0020945032424216485
AlbertMN_AssistantComputerControl,13,"[0.         0.         0.         0.         0.0071346  0.54291553
 0.         0.         0.48323406 0.76295747 0.         0.
 0.         0.         0.         0.59722213 0.         0.
 0.         0.25924635 0.         0.15577378 0.83974669 0.
 0.         0.         0.         1.         0.90770844 0.58569728
 0.         0.86007325 1.         0.         0.08005973 1.
 0.57632827 1.         0.         0.18011558]","[0.00000000e+00 0.00000000e+00 2.22423442e-03 0.00000000e+00
 0.00000000e+00 0.00000000e+00 4.11164235e-04 0.00000000e+00
 7.88120494e-01 1.00000000e+00 0.00000000e+00 5.78418582e-01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.18246494e-01 0.00000000e+00 3.55982544e-03
 0.00000000e+00 6.48400201e-01 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.81740134e-01
 1.00000000e+00 2.58527232e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 6.42728083e-01 0.00000000e+00 0.00000000e+00 1.00000000e+00]",0.002734822930927219,0.00011941868498392492
AlbertMN_AssistantComputerControl,15,"[0.68901967 1.         0.         0.         0.46257189 0.
 1.         0.         1.         1.         0.         0.
 1.         1.         0.         0.         0.         0.
 1.         0.         0.         1.         0.         1.
 0.3788948  0.         0.63632023 1.         1.         0.98426859
 0.         1.         0.         0.         0.         0.
 1.         0.         0.         1.        ]","[0.98116207 0.95870642 0.94594863 0.71987338 0.76756677 0.91874714
 1.         0.22456506 0.99502994 0.99288817 0.69166255 0.9792728
 0.86023121 0.99206228 0.99034945 0.75851795 0.99359033 0.98595669
 0.78858252 0.98119761 0.93195824 1.         0.83293899 0.99765666
 0.92263147 1.         0.76676488 0.99105897 0.9972555  0.99781427
 0.81811591 0.80534132 0.97655305 0.92743437 0.82104156 0.86708071
 0.98885527 0.96268116 1.         0.99414514]",0.0006768269923328845,0.0001357563613575964
AlbertMN_AssistantComputerControl,17,"[0.00000000e+00 0.00000000e+00 7.24074706e-01 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 8.59047736e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 7.32593533e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 2.50409207e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 7.80006041e-01 0.00000000e+00 0.00000000e+00
 1.00000000e+00 3.23802213e-05 0.00000000e+00 1.00000000e+00]","[1.         0.67757959 0.69730065 0.99894517 0.75265082 0.830649
 0.9667341  0.99764897 0.99060101 0.99742425 0.97786153 0.38279929
 0.30122012 0.99462064 0.87910342 0.97333524 0.98555942 0.76178025
 0.95232672 1.         0.95881031 0.99972762 0.70361833 0.88646538
 0.93847209 0.99160927 0.86153934 0.86808589 1.         1.
 0.87846374 0.95273778 0.9801827  1.         0.97439456 1.
 1.         0.99677576 0.76671492 0.99380632]",0.0004302866034940768,8.211002259907205e-05
AlbertMN_AssistantComputerControl,19,"[0.         0.         0.         0.07577115 0.         0.00894727
 0.02854274 0.         0.07867731 0.02923011 0.04686656 0.
 0.01206663 0.03630707 0.         0.04923235 0.01343436 0.00615266
 0.         0.         0.         0.04333423 0.         0.
 0.         0.         0.         0.         0.00737824 0.00793411
 0.06569424 0.00017084 0.07736369 0.         0.         0.01217239
 0.01982947 0.         0.         0.01661399]","[0.         0.00916398 0.00753939 0.01527468 0.         0.00315911
 0.00964808 0.01194481 0.1707     0.04014746 0.12206951 0.00183427
 0.         0.16794892 0.01497803 0.         0.01486718 0.14845958
 0.0759584  0.         0.02862526 0.0724681  0.         0.
 0.04903249 0.03560822 0.0594336  0.15309472 0.091958   0.17193401
 0.0236609  0.11712546 0.0384532  0.         0.0890951  0.0538658
 0.05001212 0.03361469 0.         0.06776759]",0.0003161545030611376,7.213116569259179e-05
