project_name,k,best_solution_rsa_sammon,best_solution_rsa_kruskal,best_fitness_rsa_sammon,best_fitness_rsa_kruskal
microsoft_powerapps-tools,1,[1 0 1 0 0 0 1 1 1 1 0 0 1 0],[1 1 1 1 0 1 1 1 1 1 0 0 1 0],0.27260682343330317,0.24466566892667935
microsoft_powerapps-tools,2,[0 0 0 0 1 0 0 1 1 0 0 1 1 0],[0 0 0 0 1 1 0 0 0 0 0 0 1 0],0.13257856525909906,0.0881099098419385
microsoft_powerapps-tools,3,[0 0 0 0 0 1 0 0 0 0 0 1 1 0],[0 0 0 0 1 1 0 0 0 0 0 0 1 0],0.05548081101470226,0.022420830148169157
microsoft_powerapps-tools,4,[0 0 0 0 0 1 0 0 0 0 0 0 0 0],[0 0 0 0 0 1 0 0 0 0 0 0 0 0],0.04071679662757923,0.019176830607940763
microsoft_powerapps-tools,5,[0 0 0 0 1 1 0 0 0 0 0 0 0 0],[0 0 0 0 1 1 0 0 0 0 0 0 1 0],0.01955979279905039,0.001091555042798688
microsoft_powerapps-tools,6,[0 0 0 0 1 1 0 0 0 1 0 0 0 0],[0 0 0 0 1 1 0 0 0 0 0 0 1 0],0.009904523049719048,0.0008800958325545034
microsoft_powerapps-tools,7,[0 0 0 0 1 1 0 0 0 0 0 0 0 0],[0 0 0 0 1 1 0 1 1 0 0 0 1 0],0.005184627544096006,0.00047874743995791793
microsoft_powerapps-tools,8,[0 0 0 0 1 1 0 0 1 1 0 0 0 0],[0 0 1 0 1 1 1 0 1 0 0 1 0 1],0.0029725187290911208,0.00027848816476225085
microsoft_powerapps-tools,9,[0 0 1 0 1 1 0 0 0 1 0 0 1 0],[1 0 1 1 1 1 0 0 1 1 1 1 1 1],0.001606922251767655,0.00015066905604629294
microsoft_powerapps-tools,10,[0 1 0 0 1 1 1 0 1 1 0 0 1 0],[1 1 1 1 1 1 0 1 1 1 1 1 1 1],0.000963981089262619,9.015221296221736e-05
microsoft_powerapps-tools,11,[0 1 0 0 0 0 1 0 0 1 0 0 1 1],[0 1 0 1 1 1 0 1 0 1 0 0 1 0],0.0005538784992136297,3.777412335554672e-05
microsoft_powerapps-tools,12,[0 1 1 0 1 0 1 0 1 1 1 0 0 1],[0 1 0 0 0 1 0 0 1 0 0 0 0 0],0.00022554702738541275,1.3066573727645243e-05
microsoft_powerapps-tools,13,[0 0 0 0 1 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1],4.046281774908882e-10,1.3929994685480403e-10
microsoft_powerapps-tools,14,[0 0 0 0 1 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1],0.0,0.0
figormartins_pokemon,1,[1 0 1 0 0 0 1 1 1 1 0 0 1 0],[1 1 1 1 0 1 1 1 1 1 0 0 1 0],0.23440410142949641,0.12660302867005682
figormartins_pokemon,2,[0 0 0 0 1 0 0 1 1 0 0 1 1 0],[1 0 1 1 1 0 1 0 0 1 1 1 1 0],0.12847137703908837,0.039705999761690806
figormartins_pokemon,3,[0 0 0 0 0 1 0 0 0 0 0 1 1 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1],0.08327979991351753,0.03616745884583217
figormartins_pokemon,4,[0 0 0 1 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 1 0 0 0 0 0 0 0 0],0.058395198615781164,0.015930021782655568
figormartins_pokemon,5,[0 0 0 1 1 1 0 0 0 0 0 0 0 1],[1 1 1 1 1 0 1 0 0 0 0 1 1 0],0.03347968811207304,0.009933444593567882
figormartins_pokemon,6,[0 0 0 1 1 1 0 0 0 0 0 1 0 1],[1 1 0 1 0 1 0 1 0 0 0 1 1 1],0.008575300174393643,0.004314367990251664
figormartins_pokemon,7,[1 1 1 1 1 1 0 1 0 1 0 1 1 0],[0 1 0 1 0 1 0 1 0 0 0 0 1 1],0.0016484195287209667,0.004305631561222774
figormartins_pokemon,8,[1 1 1 1 1 1 0 1 0 1 0 1 1 1],[1 0 0 1 1 1 0 0 1 0 0 0 0 0],0.0007859507610546389,0.00031631683304663745
figormartins_pokemon,9,[1 1 1 1 1 1 1 1 1 1 0 1 1 0],[1 1 1 1 1 1 0 1 1 0 1 1 1 1],0.00026954743425773364,7.472111936032915e-05
figormartins_pokemon,10,[1 1 1 1 1 1 1 1 1 1 0 1 1 1],[1 1 1 1 1 1 1 1 1 1 0 1 1 1],2.491191945570699e-06,5.986802723210311e-07
figormartins_pokemon,11,[0 0 0 0 1 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1],7.951533014419641e-07,1.7512568610945855e-07
figormartins_pokemon,12,[0 1 0 0 0 0 1 0 0 1 0 0 1 1],[0 1 0 0 0 1 0 0 1 0 0 0 0 0],1.9203364908456402e-07,2.3066969163415086e-08
figormartins_pokemon,13,[1 1 0 0 1 1 1 0 0 1 0 1 0 0],[1 1 0 1 1 1 0 1 0 1 1 0 1 1],2.563841023387261e-09,6.758186392069048e-10
figormartins_pokemon,14,[0 0 0 0 1 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1],0.0,0.0
d2phap_ImageGlass,1,[1 0 1 0 0 0 1 1 1 1 0 0 1 0],[1 1 1 1 0 1 1 1 1 1 0 0 1 0],0.2931858361904795,0.28540047121377815
d2phap_ImageGlass,2,[0 0 0 0 1 0 0 1 1 0 0 1 1 0],[0 0 0 0 1 1 0 0 0 0 0 0 1 0],0.17742465079993938,0.1172371657231303
d2phap_ImageGlass,3,[0 0 0 0 0 1 0 0 0 0 0 1 1 0],[0 0 0 0 1 1 0 0 0 0 0 0 1 0],0.0797935059407551,0.06101068420375066
d2phap_ImageGlass,4,[0 0 0 0 0 1 0 0 0 0 0 0 0 0],[0 0 0 0 0 1 0 0 0 0 0 0 0 0],0.055464362225975915,0.029756188766262313
d2phap_ImageGlass,5,[0 0 0 0 0 1 0 0 0 0 0 0 0 0],[0 0 0 0 1 1 0 0 0 0 0 0 1 0],0.033468762759633,0.009160312756038366
d2phap_ImageGlass,6,[0 0 0 0 1 1 0 0 0 0 0 0 0 0],[0 0 0 0 1 1 0 0 0 0 0 0 1 0],0.01497326935770545,0.00796015929310799
d2phap_ImageGlass,7,[1 0 1 0 1 1 0 0 1 0 1 1 1 1],[0 0 0 0 1 1 0 1 1 0 0 0 1 0],0.009600213727970423,0.001202699652981966
d2phap_ImageGlass,8,[1 0 1 0 1 1 0 0 1 0 1 1 1 1],[1 0 0 1 1 1 0 0 1 0 0 0 0 0],0.004181676172231073,0.000494820109602396
d2phap_ImageGlass,9,[0 0 1 0 1 1 0 0 0 1 0 0 1 0],[1 1 1 1 1 1 0 1 1 0 1 1 1 1],0.002652735975754291,0.00012682380134342952
d2phap_ImageGlass,10,[0 0 1 0 1 1 0 0 0 1 0 0 1 0],[0 1 1 1 1 1 0 0 1 0 1 0 1 0],0.0018007870262824028,6.230527713221015e-05
d2phap_ImageGlass,11,[0 1 1 0 1 1 0 1 0 1 1 1 1 0],[1 1 1 1 1 1 0 1 1 0 1 1 1 1],0.00033918415289276455,1.2376268180082467e-05
d2phap_ImageGlass,12,[0 1 1 1 1 1 0 0 0 1 1 1 1 1],[1 1 1 1 1 1 1 1 1 0 1 1 1 1],0.00014020254785667872,2.4112167716622614e-06
d2phap_ImageGlass,13,[0 0 0 0 1 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1],5.594149369184655e-10,1.4511068556611795e-11
d2phap_ImageGlass,14,[1 1 0 0 0 1 1 0 0 1 0 1 0 1],[1 1 1 1 1 0 1 0 0 0 1 0 0 1],0.0,0.0
ModuleArt_quick-picture-viewer,1,[1 0 1 0 0 0 1 1 1 1 0 0 1 0],[1 1 1 1 0 1 1 1 1 1 0 0 1 0],0.32280290876785683,0.2916262231406957
ModuleArt_quick-picture-viewer,2,[0 0 0 0 1 0 0 1 1 0 0 1 1 0],[0 0 0 0 1 1 0 0 0 0 0 0 1 0],0.19002307276996747,0.12256590033389052
ModuleArt_quick-picture-viewer,3,[0 0 0 0 0 1 0 0 0 0 0 1 1 0],[0 0 0 0 1 1 0 0 0 0 0 0 1 0],0.09531361216276725,0.06229408993039541
ModuleArt_quick-picture-viewer,4,[0 0 0 0 0 1 0 0 0 0 0 0 0 0],[0 0 0 0 0 1 0 0 0 0 0 0 0 0],0.0666779408933305,0.03002808764053067
ModuleArt_quick-picture-viewer,5,[0 0 0 0 0 1 0 0 0 0 0 0 0 0],[0 0 0 0 1 1 0 0 0 0 0 0 1 0],0.03900646697313766,0.008721677100341992
ModuleArt_quick-picture-viewer,6,[0 0 0 0 1 1 0 0 0 0 0 0 0 0],[0 0 0 0 1 1 0 0 0 0 0 0 1 0],0.01754258571681743,0.007889806460356346
ModuleArt_quick-picture-viewer,7,[1 0 1 0 1 1 0 0 1 0 1 1 1 1],[0 0 0 0 1 1 0 1 1 0 0 0 1 0],0.011325194317125838,0.0011420102942718469
ModuleArt_quick-picture-viewer,8,[1 0 1 0 1 1 0 0 1 0 1 1 1 1],[1 0 0 1 1 1 0 0 1 0 0 0 0 0],0.0042288837625865305,0.00030358131918224664
ModuleArt_quick-picture-viewer,9,[0 0 1 0 1 1 0 0 0 1 0 0 1 0],[1 0 1 1 1 1 0 0 1 1 1 1 1 1],0.0023991093737462947,7.406848658780256e-05
ModuleArt_quick-picture-viewer,10,[0 1 0 1 1 1 0 0 1 1 1 1 1 0],[0 1 1 1 1 1 0 0 1 0 1 0 1 0],0.0017748531362289572,1.4173987312846328e-05
ModuleArt_quick-picture-viewer,11,[0 1 1 1 1 1 0 0 0 1 1 1 1 1],[0 1 1 1 1 1 0 0 1 0 1 0 1 0],0.00017661970870077692,7.57923590445231e-06
ModuleArt_quick-picture-viewer,12,[0 1 1 1 1 1 0 0 0 1 1 1 1 1],[0 1 1 1 1 1 0 1 1 0 1 1 1 1],6.667873318811325e-05,2.6636325826484453e-06
ModuleArt_quick-picture-viewer,13,[0 0 0 0 1 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1],4.6121398298079824e-11,2.823300464370063e-12
ModuleArt_quick-picture-viewer,14,[1 1 0 0 0 1 1 0 0 1 0 1 0 1],[1 1 1 1 1 0 1 0 0 0 1 0 0 1],0.0,0.0
simon-knuth_scanner,1,[0 0 0 0 0 1 0 0 0 0 0 0 0 0],[0 0 0 0 0 1 0 0 0 0 0 0 0 0],0.23754988475475006,0.20886739368910923
simon-knuth_scanner,2,[0 0 0 0 1 1 0 0 0 0 0 0 0 0],[0 0 0 0 1 1 0 0 0 0 0 0 1 0],0.12583701625972846,0.0569530819011354
simon-knuth_scanner,3,[0 0 0 0 0 1 0 0 0 0 0 1 1 0],[0 0 0 0 1 1 0 0 0 0 0 0 1 0],0.030512844493723542,0.023668702733733806
simon-knuth_scanner,4,[0 0 0 0 0 1 0 0 0 0 0 0 0 0],[0 0 0 0 1 1 0 0 0 0 0 0 1 0],0.02188049237374685,0.015233680815397804
simon-knuth_scanner,5,[0 0 0 0 1 1 0 0 0 0 0 0 0 0],[0 0 0 0 1 1 0 0 0 0 0 0 1 0],0.005255857531948998,0.0030132980883790903
simon-knuth_scanner,6,[0 0 0 0 1 1 0 0 0 0 0 0 0 0],[0 0 0 0 1 1 0 0 0 0 0 0 1 0],0.002821349634265955,0.0018069456326574797
simon-knuth_scanner,7,[1 0 1 0 1 1 0 0 1 0 1 1 1 1],[0 0 0 0 1 1 0 1 1 0 0 0 1 0],0.0012576742834944099,0.0010175153216186786
simon-knuth_scanner,8,[1 0 1 0 1 1 0 0 1 0 1 1 1 1],[0 1 1 0 1 1 0 0 1 0 0 1 0 0],0.0005690778493357949,0.0002109904622738726
simon-knuth_scanner,9,[1 1 0 0 1 1 0 0 1 0 1 1 1 1],[0 1 1 1 1 1 1 0 1 1 1 1 1 1],0.00039859978781366605,0.0003235700993696976
simon-knuth_scanner,10,[0 1 0 0 1 1 1 0 1 1 0 0 1 0],[0 1 1 0 1 1 0 0 0 1 1 1 0 1],0.000297217769130989,1.5990769416407361e-06
simon-knuth_scanner,11,[0 1 1 0 1 1 0 1 0 1 1 1 1 0],[0 1 1 0 1 1 0 0 0 1 1 1 0 1],1.4732602674573293e-06,4.528508154613797e-07
simon-knuth_scanner,12,[0 1 1 0 1 0 1 0 1 1 1 0 0 1],[0 1 1 0 1 1 1 1 1 1 1 1 0 1],0.0,0.0
simon-knuth_scanner,13,[0 0 0 0 1 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1],0.0,0.0
simon-knuth_scanner,14,[0 0 0 0 1 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1],0.0,0.0
stefsietz_nn-visualizer,1,[1 0 1 0 0 0 1 1 1 1 0 0 1 0],[1 1 1 1 0 1 1 1 1 1 0 0 1 0],0.275658008119253,0.2338125868685318
stefsietz_nn-visualizer,2,[0 0 0 0 1 0 0 1 1 0 0 1 1 0],[0 0 0 0 1 1 0 0 0 0 0 0 1 0],0.15711217634766542,0.07473011825570872
stefsietz_nn-visualizer,3,[0 0 0 0 0 1 0 0 0 0 0 1 1 0],[0 0 0 0 1 1 0 0 0 0 0 0 1 0],0.06378167017788283,0.03145210732173647
stefsietz_nn-visualizer,4,[0 0 0 0 0 1 0 0 0 0 0 0 0 0],[0 0 0 0 1 1 0 0 0 0 0 0 1 0],0.046484600682067466,0.018579375229379642
stefsietz_nn-visualizer,5,[0 0 0 0 1 1 0 0 0 0 0 0 0 0],[0 0 0 0 1 1 0 0 0 0 0 0 1 0],0.027084860783257197,0.004110730816481219
stefsietz_nn-visualizer,6,[0 0 0 0 1 1 0 0 0 0 0 0 0 0],[0 0 0 0 1 1 0 0 0 0 0 0 1 0],0.013153140709284286,0.0026562549343373057
stefsietz_nn-visualizer,7,[0 0 0 0 1 1 0 0 0 0 0 0 0 0],[0 0 0 0 1 1 0 1 1 0 0 0 1 0],0.008852357647435116,0.0018220184231892787
stefsietz_nn-visualizer,8,[1 0 1 0 1 1 0 0 1 0 1 1 1 1],[0 1 1 0 1 1 0 0 1 0 0 1 0 0],0.005489082426857645,0.0003376713456052409
stefsietz_nn-visualizer,9,[0 0 1 0 1 1 0 0 0 1 0 0 1 0],[1 1 1 1 1 1 0 1 1 1 1 1 1 1],0.0021576561258713177,0.000492414968140609
stefsietz_nn-visualizer,10,[0 0 1 0 1 1 0 0 0 1 0 0 1 0],[0 1 1 0 1 1 0 0 0 1 1 1 0 1],0.0011314076894943634,4.9495722785463045e-05
stefsietz_nn-visualizer,11,[0 1 1 0 1 1 0 1 0 1 1 1 1 0],[0 1 1 0 1 1 0 0 0 1 1 1 0 1],0.00012134040289881075,1.3460338877014779e-05
