project_name,k,best_solution_gwo_sammon,best_solution_gwo_kruskal,best_fitness_gwo_sammon,best_fitness_gwo_kruskal
microsoft_powerapps-tools,1,"[0.65092248 0.13002309 0.39135084 0.51644304 0.60688416 0.55143783
 0.78484111 0.12725126 0.08407849 0.86921888 0.6940052  0.50489249
 0.95807651 0.08790681]","[0.32348508 0.75067503 0.27509109 0.04837158 0.61273714 0.0145907
 0.         0.         0.53782791 0.43468503 0.91388399 0.59549154
 1.         0.70730178]",0.27260682343330317,0.24466566892667935
microsoft_powerapps-tools,2,"[0.36913371 0.52584092 0.18951681 0.07185981 0.35870483 0.61297179
 0.16826675 0.54866059 0.40963629 0.29887996 0.46243714 0.53873374
 0.72908235 0.2717752 ]","[0.45339666 0.         0.55354846 0.49679294 0.2888645  0.67623999
 0.23517521 0.36457849 0.65839509 0.64274663 0.41550269 0.39739589
 1.         0.66510079]",0.12086545588491295,0.0881099098419385
microsoft_powerapps-tools,3,"[0.64053452 0.         0.26726229 0.82891718 0.55889562 0.91904954
 0.19946021 0.02233028 0.44890043 0.35323067 0.76706524 0.99922199
 1.         0.10141663]","[0.49903697 0.47499792 0.63415308 0.09649436 0.2161351  1.
 0.41654479 0.44502722 0.60873996 0.17471689 0.36460506 0.75099946
 0.75567305 0.08204266]",0.05548081101470226,0.02180284004281743
microsoft_powerapps-tools,4,"[0.92052526 0.96940372 0.61052343 0.0373375  1.         1.
 0.69700381 0.71050622 0.54314373 0.43042596 0.34948984 1.
 1.         0.33787438]","[0.5097346  0.25651088 0.06395103 0.         0.77323721 0.84073845
 0.54396088 0.07612467 0.         0.66294164 0.         0.91759314
 1.         0.28909   ]",0.02852348930522075,0.002198319023673274
microsoft_powerapps-tools,5,"[0.         0.28837194 0.47363537 0.50816253 0.67197236 1.
 0.30919245 0.33013098 0.31851249 0.64250548 0.33068065 1.
 1.         0.43040748]","[0.24892102 0.07936895 0.171903   0.37731039 1.         0.76946701
 0.50007317 0.19024643 0.06195267 0.74187425 0.678211   0.83928707
 0.80441205 0.80298124]",0.01682178612425467,0.001091555042798688
microsoft_powerapps-tools,6,"[0.         0.275268   0.48259137 0.3823289  1.         0.86743727
 0.46210097 0.         0.63830417 0.81074518 0.43700694 0.50769824
 0.85841226 0.17554432]","[0.01162603 0.22088008 0.03202527 0.13881473 1.         0.79027974
 0.         0.         0.63869808 0.34521764 0.54281336 0.67777628
 0.78187909 1.        ]",0.009904523049719048,0.0005611978029848756
microsoft_powerapps-tools,7,"[0.13666774 0.23696277 0.11003772 0.2713268  0.49245398 0.38808987
 0.24946828 0.03891165 0.53680323 0.48022239 0.75383489 0.97905266
 0.8835244  0.23948814]","[0.1244683  0.11006906 0.22153409 0.3868845  0.45572014 1.
 0.0527469  0.40689856 0.71156238 0.2993077  0.60111449 0.66944592
 0.89767013 0.46014038]",0.005184627544096006,0.00038424125582133114
microsoft_powerapps-tools,8,"[0.1224762  0.68506362 0.33561307 0.44452135 0.6924979  0.85743974
 0.53579262 0.23636649 0.83417931 0.74506307 0.18386916 0.9426727
 0.79295613 0.90827242]","[0.09155588 0.31923981 0.42770576 0.55301639 1.         1.
 0.16558032 0.30049261 1.         0.21057026 0.58069828 1.
 1.         0.87484637]",0.0029725187290911208,0.0002461993476697954
microsoft_powerapps-tools,9,"[0.16325268 0.34981722 0.20433549 0.34884628 1.         1.
 0.28352214 0.34211031 1.         0.92248141 0.44823042 0.35016307
 0.5787891  0.85497814]","[0.00560117 0.23388188 0.40317324 0.55590674 0.4430314  0.89978328
 0.03123445 0.22182936 1.         0.56888686 0.40936615 0.63261583
 0.55081153 0.4272374 ]",0.001592791336062142,0.00015066905604629294
microsoft_powerapps-tools,10,"[0.04120417 0.36402225 0.18248287 0.26284932 0.72560071 1.
 0.34494393 0.25697706 0.3751614  0.29974956 0.57087276 0.94371458
 0.42506331 0.3883957 ]","[0.33947223 0.95420036 0.42082237 0.84177937 0.88628032 0.72112339
 0.47929372 0.26450803 1.         0.65811338 0.50120636 1.
 0.69961029 1.        ]",0.000963981089262619,9.329478950292117e-05
